OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02083833,"PETE MITCHELL SWAMP AT SR1409 NEAR PENNY HILL, NC",Stream,,3020103,18,sq mi,35.76665556,-77.4933111,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084148,"CHICOD CR AT SR1565 NR GRIMESLAND, NC",Stream,,3020103,19,sq mi,35.5326627,-77.18662439,,1,seconds,Interpolated from MAP.,NAD83,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084158,"COW SWAMP NEAR GRIMESLAND, NC",Stream,,3020103,17,sq mi,35.53349599,-77.2246817,,1,seconds,Interpolated from MAP.,NAD83,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",Stream,,3020103,45,sq mi,35.56166667,-77.2308333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-1.1,feet,Reported method of determination.,NAVD88,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084164,"JUNIPER BRANCH AT SR1766 NR SIMPSON, NC",Stream,,3020103,7.5,sq mi,35.5654399,-77.24496069,,1,seconds,Interpolated from MAP.,NAD83,,,,,US,37,147,NWIS
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7570000,LANGS MILL RUN AT FOUNTAIN INACT 750407,River/Stream,LANGS MILL RUN AT FOUNTAIN INACT 750407,3020203,,,35.673,-77.652,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7610000,LANGS MILL RUN NR FOUNTAIN INACT 750407,River/Stream,LANGS MILL RUN NR FOUNTAIN INACT 750407,3020203,,,35.667,-77.638,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7650000,LITTLE CONTENTNEA CRK ATFARMVILLE INACT 750407,River/Stream,LITTLE CONTENTNEA CRK ATFARMVILLE INACT 750407,3020203,,,35.606,-77.575,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7690000,Little Contentnea CK at SR 1218 near Farmville NC,River/Stream,Little Contentnea CK at SR 1218 near Farmville NC,3020203,,,35.5881,-77.5416,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7739500,LITTLE CONTENTNEA CRK NR FARMVILLE,River/Stream,LITTLE CONTENTNEA CRK NR FARMVILLE,3020203,,,35.544,-77.511,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7740000,LITTLE CONTENTNEA CRK AT SR 1110 AT SCUFFLETON,River/Stream,LITTLE CONTENTNEA CRK AT SR 1110 AT SCUFFLETON,3020203,,,35.4567,-77.4854,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7770000,CONTENTNEA CRK ATNC11 ATGRIFTON INACT 750407,River/Stream,CONTENTNEA CRK ATNC11 ATGRIFTON INACT 750407,3020203,,,35.371,-77.444,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7810000,CONTENTNEA CRK NR SR 1800 AT GRIFTON,River/Stream,CONTENTNEA CRK NR SR 1800 AT GRIFTON,3020203,,,35.3684,-77.434,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J7970000,SWIFT CRK AT SR 1126 AT WINTERVILLE,River/Stream,SWIFT CRK AT SR 1126 AT WINTERVILLE,3020202,,,35.537,-77.421,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J8010000,SWIFT CRK NR WINTERVILLE INACT 750221,River/Stream,SWIFT CRK NR WINTERVILLE INACT 750221,3020202,,,35.525,-77.428,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J8050000,SWIFT CRK AT HWY 102 AT AYDEN INACT 750409,River/Stream,SWIFT CRK AT HWY 102 AT AYDEN INACT 750409,3020202,,,35.471,-77.401,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J8090000,FORK SWAMP AT HWY 102 AT AYDEN INACT 750409,River/Stream,FORK SWAMP AT HWY 102 AT AYDEN INACT 750409,3020202,,,35.468,-77.356,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J8130000,SWIFT CRK AT SR 1753 AT COXVILLE INACT 750221,River/Stream,SWIFT CRK AT SR 1753 AT COXVILLE INACT 750221,3020202,,,35.401,-77.333,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6100000,CRISP CRK AT MOUTH NR BETHEL INACT 730827,River/Stream,CRISP CRK AT MOUTH NR BETHEL INACT 730827,3020103,,,35.825,-77.408,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6200000,TAR RIV AT HWY 222 NR FALKLAND,River/Stream,TAR RIV AT HWY 222 NR FALKLAND,3020103,,,35.6962,-77.4895,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6205000,CONETOE CRK AT SR 1409 NR BETHEL,River/Stream,CONETOE CRK AT SR 1409 NR BETHEL,3020103,,,35.7743,-77.4638,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6300000,TAR RIV AT US 13 AT GREENVILLE INA 750206,River/Stream,TAR RIV AT US 13 AT GREENVILLE INA 750206,3020103,,,35.617,-77.39,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6360000,CHICOD CRK AT SR 1565 NR BOYDS CROSSROADS,River/Stream,CHICOD CRK AT SR 1565 NR BOYDS CROSSROADS,3020103,,,35.535,-77.189,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6400000,CHICOD CRK AT SR 1777 NR GRIMESLAND,River/Stream,CHICOD CRK AT SR 1777 NR GRIMESLAND,3020103,,,35.546,-77.213,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6420000,COW SWAMP AT SR 1756 NR HAMS CROSSROADS,River/Stream,COW SWAMP AT SR 1756 NR HAMS CROSSROADS,3020103,,,35.535,-77.228,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6450000,CHICOD CRK AT SR 1760 NR SIMPSON,River/Stream,CHICOD CRK AT SR 1760 NR SIMPSON,3020103,,,35.5615,-77.2305,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6470000,JUNIPER BRANCH AT SR 1766 NR SIMPSON,River/Stream,JUNIPER BRANCH AT SR 1766 NR SIMPSON,3020103,,,35.565,-77.246,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6500000,TAR RIV AT SR 1565 NR GRIMESLAND,River/Stream,TAR RIV AT SR 1565 NR GRIMESLAND,3020103,,,35.574,-77.1754,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6600000,GRINDLE CRK AT HWY 11 ATBETHEL INACT 750401,River/Stream,GRINDLE CRK AT HWY 11 ATBETHEL INACT 750401,3020103,,,35.794,-77.372,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6700000,GRINDLE CRK NR BETHEL INACT 750401,River/Stream,GRINDLE CRK NR BETHEL INACT 750401,3020103,,,35.762,-77.378,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6800000,TAR RIV BELOW GRINDLE CRK INACT 780906,River/Stream,TAR RIV BELOW GRINDLE CRK INACT 780906,3020103,,,35.567,-77.138,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-O6900000,TRANTERS CRK AT SR 1500 NR OAKLEY INACT 750604,River/Stream,TRANTERS CRK AT SR 1500 NR OAKLEY INACT 750604,3020103,,,35.789,-77.292,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-J7810000,CONTENTNEA CRK NR SR 1800 AT GRIFTON,River/Stream,,3020203,,,35.36842,-77.43395,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6200000,TAR RIV AT NC 222 NR FALKLAND,River/Stream,,3020103,,,35.69624,-77.48949,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6205000,CONETOE CRK AT SR 1409 NR BETHEL,River/Stream,,3020103,,,35.77427,-77.46384,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6300000,TAR RIV AT US 13 AT GREENVILLE,River/Stream,,3020103,,,35.617,-77.39,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6360000,CHICOD CRK AT SR 1565 NR BOYDS CROSSROADS,River/Stream,,3020103,,,35.535,-77.189,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6420000,COW SWAMP AT SR 1756 NR HAMS CROSSROADS,River/Stream,,3020103,,,35.535,-77.228,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6450000,CHICOD CRK AT SR 1760 NR SIMPSON,River/Stream,,3020103,,,35.56149,-77.23047,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6470000,JUNIPER BRANCH AT SR 1766 NR SIMPSON,River/Stream,,3020103,,,35.565,-77.246,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-O6500000,TAR RIV AT SR 1565 NR GRIMESLAND,River/Stream,,3020103,,,35.57404,-77.17542,24000,,,Interpolation-Map,NAD83,0,ft,,Unknown,US,37,147,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-J7810000,CONTENTNEA CRK NR SR 1800 AT GRIFTON,River/Stream,,3020203,,,35.36852,-77.43412,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-O6200000,TAR RIV AT NC 222 NR FALKLAND,River/Stream,,3020103,,,35.69624,-77.48949,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-O6205000,CONETOE CRK AT SR 1409 NR BETHEL,River/Stream,,3020103,,,35.77427,-77.46384,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-O6450000,CHICOD CRK AT SR 1760 NR SIMPSON,River/Stream,,3020103,,,35.56149,-77.23047,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-O6500000,TAR RIV AT SR 1565 NR GRIMESLAND,River/Stream,,3020103,,,35.57404,-77.17542,24000,,,Interpolation-Map,NAD83,,,,,US,37,147,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-J7690000,LITTLE CONTENTNEA CRK AT SR 1218 CHINQUAPIN RD NR FARMVILLE,River/Stream,,3020203,,,35.5881,-77.5416,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-J7740000,LITTLE CONTENTNEA CRK AT SR 1110 (HWY 903) AT SCUFFLETON,River/Stream,,3020203,,,35.4567,-77.4854,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-O6240000,Tar River at US 264 Byp near Greenville,River/Stream,,3020103,,,35.64598,-77.42212,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-O6700000,Grindle Creek at SR 1427 near Bethel,River/Stream,,3020103,,,35.76324,-77.37805,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-O6798000,Grindle Creek at US 264 at Pactolus,River/Stream,,3020103,,,35.62426,-77.22118,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-J7690000,Little Contentnea Creek at SR 1218 Chinquapin Road near Farmville,River/Stream,,3020203,,,35.5881,-77.5416,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-J7740000,Little Contentnea Creek at SR 1110 Highway 903 at Scuffleton,River/Stream,,3020203,,,35.4567,-77.4854,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-O6240000,Tar River at US 264 Byp near Greenville,River/Stream,,3020103,,,35.64598,-77.42212,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-O6700000,Grindle Creek at SR 1427 near Bethel,River/Stream,,3020103,,,35.76324,-77.37805,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-O6798000,Grindle Creek at US 264 at Pactolus,River/Stream,,3020103,,,35.62426,-77.22118,,,,GPS-Unspecified,NAD83,,,,,US,37,147,STORET